Artist,Popularity_min,Popularity_max,Popularity_mean,Popularity_var,Danceability_min,Danceability_max,Danceability_mean,Danceability_var,Energy_min,Energy_max,Energy_mean,Energy_var,Loudness_min,Loudness_max,Loudness_mean,Loudness_var,Speechiness_min,Speechiness_max,Speechiness_mean,Speechiness_var,Acousticness_min,Acousticness_max,Acousticness_mean,Acousticness_var,Instrumentalness_min,Instrumentalness_max,Instrumentalness_mean,Instrumentalness_var,Liveness_min,Liveness_max,Liveness_mean,Liveness_var,Valence_min,Valence_max,Valence_mean,Valence_var,Tempo_min,Tempo_max,Tempo_mean,Tempo_var,Genre_classical,Genre_rap,Genre_r&b,Genre_industrial,Genre_indie,Genre_opera,Genre_neo soul,Genre_orchestra,Genre_psychedelic rock,Genre_soundtrack,Genre_art pop,Genre_german hip hop,Genre_classic rock,Genre_electro,Genre_bedroom pop,Genre_electronic,Genre_art rock,Genre_alternative r&b,Genre_reggae,Genre_singer-songwriter,Key_<lambda>,Mode_<lambda>,Time Signature_<lambda>,Track_Count
070 Shake,82,82,82.0,,0.538,0.538,0.538,,0.742,0.742,0.742,,-5.355,-5.355,-5.355,,0.114,0.114,0.114,,0.138,0.138,0.138,,4.67e-05,4.67e-05,4.67e-05,,0.0934,0.0934,0.0934,,0.25,0.25,0.25,,96.107,96.107,96.107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
112,33,33,33.0,,0.862,0.862,0.862,,0.479,0.479,0.479,,-9.199,-9.199,-9.199,,0.0645,0.0645,0.0645,,0.0523,0.0523,0.0523,,0.00126,0.00126,0.00126,,0.589,0.589,0.589,,0.924,0.924,0.924,,109.877,109.877,109.877,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,1
21 Savage,57,82,75.33333333333333,84.66666666666666,0.612,0.847,0.743,0.009832400000000002,0.353,0.733,0.6124999999999999,0.0199511,-9.931,-4.481,-6.735333333333333,3.6090602666666656,0.0673,0.369,0.1486333333333333,0.012749266666666667,0.00574,0.59,0.18054,0.04675940959999999,0.0,0.00772,0.0014969266666666665,9.543254566666668e-06,0.0655,0.456,0.20708333333333337,0.024194041666666673,0.0731,0.501,0.25601666666666667,0.02257948166666667,76.985,164.023,127.51733333333334,1371.2840378666665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6
33A,39,39,39.0,,0.78,0.78,0.78,,0.346,0.346,0.346,,-9.831,-9.831,-9.831,,0.0885,0.0885,0.0885,,0.809,0.809,0.809,,0.000118,0.000118,0.000118,,0.0992,0.0992,0.0992,,0.676,0.676,0.676,,120.122,120.122,120.122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,1
4 Non Blondes,3,3,3.0,,0.566,0.566,0.566,,0.57,0.57,0.57,,-9.875,-9.875,-9.875,,0.0285,0.0285,0.0285,,0.156,0.156,0.156,,0.0,0.0,0.0,,0.118,0.118,0.118,,0.491,0.491,0.491,,134.537,134.537,134.537,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1
4 de la Cera,1,1,1.0,,0.854,0.854,0.854,,0.745,0.745,0.745,,-6.617,-6.617,-6.617,,0.0608,0.0608,0.0608,,0.323,0.323,0.323,,3.22e-06,3.22e-06,3.22e-06,,0.0894,0.0894,0.0894,,0.922,0.922,0.922,,120.052,120.052,120.052,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1
40 Thieves,61,61,61.0,,0.955,0.955,0.955,,0.477,0.477,0.477,,-8.381,-8.381,-8.381,,0.145,0.145,0.145,,0.018,0.018,0.018,,0.662,0.662,0.662,,0.0987,0.0987,0.0987,,0.741,0.741,0.741,,116.997,116.997,116.997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1
4am Kru,47,47,47.0,,0.426,0.426,0.426,,0.876,0.876,0.876,,-4.81,-4.81,-4.81,,0.055,0.055,0.055,,0.0226,0.0226,0.0226,,0.583,0.583,0.583,,0.269,0.269,0.269,,0.13,0.13,0.13,,87.817,87.817,87.817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1
A Great Big World,72,72,72.0,,0.407,0.407,0.407,,0.147,0.147,0.147,,-8.822,-8.822,-8.822,,0.0355,0.0355,0.0355,,0.857,0.857,0.857,,2.89e-06,2.89e-06,2.89e-06,,0.0913,0.0913,0.0913,,0.0765,0.0765,0.0765,,141.284,141.284,141.284,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
A$AP Ferg,68,70,69.0,2.0,0.788,0.791,0.7895000000000001,4.499999999999842e-06,0.715,0.839,0.7769999999999999,0.0076880000000000065,-5.211,-4.284,-4.7475000000000005,0.4296645000000009,0.119,0.266,0.1925,0.010804500000000003,0.0588,0.698,0.37839999999999996,0.20428831999999997,0.0,6.26e-05,3.13e-05,1.9593800000000003e-09,0.152,0.259,0.20550000000000002,0.0057244999999999996,0.383,0.819,0.601,0.09504799999999998,81.523,170.113,125.818,3924.09405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2
A$AP Rocky,0,84,55.0,1195.5,0.6,0.854,0.734,0.010110000000000008,0.412,0.63,0.5448,0.006628699999999994,-9.305,-6.841,-8.1428,0.8566191999999991,0.0362,0.36,0.18803999999999998,0.017496308000000002,0.0162,0.443,0.1292,0.031301024999999996,0.0,0.0816,0.01709712,0.0013028620216770004,0.1,0.219,0.1764,0.0022003000000000005,0.124,0.354,0.2404,0.011614799999999998,75.286,135.959,103.253,892.5471285000001,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,5
A. G. Cook,46,69,57.5,264.5,0.669,0.755,0.712,0.003697999999999992,0.433,0.778,0.6055,0.0595125,-5.386,-4.703,-5.0445,0.23324449999999988,0.178,0.287,0.23249999999999998,0.005940499999999999,0.0602,0.431,0.24559999999999998,0.06874632,0.0,0.0,0.0,0.0,0.0903,0.359,0.22465,0.03609984499999999,0.342,0.605,0.47350000000000003,0.0345845,137.699,160.052,148.8755,249.82830449999923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,2
ABBA,4,84,70.66666666666667,481.5151515151518,0.441,0.764,0.6191666666666666,0.017290696969696966,0.491,0.949,0.72675,0.02159947727272727,-9.655,-4.682,-7.199750000000001,1.6584654772727263,0.0257,0.0471,0.034208333333333334,4.469719696969696e-05,0.02,0.734,0.36274999999999996,0.047211659090909096,0.0,0.00899,0.0014241875,6.9923067864931805e-06,0.0859,0.76,0.25598333333333334,0.03910719424242424,0.372,0.964,0.7204166666666666,0.040322810606060605,84.229,169.067,125.29758333333332,490.3895668106064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,12
AC/DC,58,60,59.0,2.0,0.437,0.453,0.445,0.00012800000000000024,0.713,0.897,0.8049999999999999,0.01692800000000002,-5.698,-5.376,-5.537000000000001,0.051842000000000166,0.0353,0.0705,0.052899999999999996,0.0006195199999999998,0.000358,0.00945,0.004904,4.1332232000000005e-05,0.00967,0.0956,0.052635,0.0036919824500000007,0.0946,0.365,0.2298,0.03655807999999999,0.492,0.77,0.631,0.03864200000000001,93.618,141.167,117.3925,1130.4537005000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,2
AGAV,0,0,0.0,,0.803,0.803,0.803,,0.598,0.598,0.598,,-7.019,-7.019,-7.019,,0.036,0.036,0.036,,0.621,0.621,0.621,,0.271,0.271,0.271,,0.0602,0.0602,0.0602,,0.721,0.721,0.721,,110.823,110.823,110.823,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
ALIZADE,39,66,55.833333333333336,83.76666666666668,0.589,0.772,0.6661666666666667,0.00673656666666667,0.52,0.86,0.6638333333333334,0.014157766666666663,-9.34,-3.294,-7.1295,7.313581900000001,0.0351,0.37,0.1411,0.017746976,0.0018,0.632,0.13226666666666667,0.06060956266666666,0.0,0.0163,0.0048445,3.545289349999999e-05,0.0763,0.32,0.17263333333333333,0.010848162666666666,0.229,0.529,0.39666666666666667,0.014857066666666665,95.017,192.0,131.3895,1669.7054795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6
Aaliyah,0,67,46.833333333333336,654.1666666666666,0.589,0.85,0.6825,0.0161283,0.246,0.657,0.48950000000000005,0.0190827,-16.561,-7.078,-9.784666666666666,12.538919066666667,0.0271,0.166,0.06960000000000001,0.003258636,0.0626,0.761,0.29338333333333333,0.08865415366666667,3e-06,0.0903,0.02483608333333333,0.0011345347958416668,0.0685,0.323,0.15063333333333334,0.009218522666666668,0.193,0.843,0.4535,0.05380869999999999,78.094,143.969,110.36166666666666,867.3634030666668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,6
Abkountry,42,42,42.0,,0.554,0.554,0.554,,0.374,0.374,0.374,,-13.218,-13.218,-13.218,,0.024,0.024,0.024,,0.214,0.214,0.214,,0.000475,0.000475,0.000475,,0.159,0.159,0.159,,0.609,0.609,0.609,,82.5,82.5,82.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1
Absolute Valentine,48,48,48.0,,0.567,0.567,0.567,,0.79,0.79,0.79,,-6.51,-6.51,-6.51,,0.0996,0.0996,0.0996,,0.252,0.252,0.252,,0.908,0.908,0.908,,0.105,0.105,0.105,,0.639,0.639,0.639,,180.06,180.06,180.06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
Academy of Ancient Music,0,0,0.0,,0.415,0.415,0.415,,0.108,0.108,0.108,,-20.346,-20.346,-20.346,,0.0474,0.0474,0.0474,,0.955,0.955,0.955,,2.4e-05,2.4e-05,2.4e-05,,0.137,0.137,0.137,,0.241,0.241,0.241,,129.712,129.712,129.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,1
Academy of St. Martin in the Fields,11,11,11.0,,0.165,0.165,0.165,,0.0071,0.0071,0.0071,,-29.268,-29.268,-29.268,,0.0406,0.0406,0.0406,,0.814,0.814,0.814,,0.471,0.471,0.471,,0.109,0.109,0.109,,0.034,0.034,0.034,,87.177,87.177,87.177,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1
Ace of Base,55,55,55.0,,0.669,0.669,0.669,,0.867,0.867,0.867,,-5.127,-5.127,-5.127,,0.0369,0.0369,0.0369,,0.00121,0.00121,0.00121,,0.00465,0.00465,0.00465,,0.0773,0.0773,0.0773,,0.657,0.657,0.657,,96.049,96.049,96.049,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
Acoustics Tunes,0,0,0.0,,0.764,0.764,0.764,,0.492,0.492,0.492,,-8.819,-8.819,-8.819,,0.234,0.234,0.234,,0.884,0.884,0.884,,2.82e-06,2.82e-06,2.82e-06,,0.0967,0.0967,0.0967,,0.72,0.72,0.72,,122.357,122.357,122.357,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1
Adamlar,0,50,20.333333333333332,690.3333333333333,0.607,0.657,0.6313333333333334,0.0006263333333333324,0.627,0.709,0.662,0.0017889999999999991,-9.635,-8.084,-8.849333333333334,0.6017103333333331,0.0269,0.0348,0.030199999999999994,1.686999999999999e-05,0.0591,0.551,0.2663666666666667,0.06498060333333333,0.0062,0.154,0.09073333333333333,0.005800413333333334,0.15,0.372,0.25833333333333336,0.012342333333333332,0.33,0.756,0.6083333333333333,0.05817433333333333,118.034,143.961,130.65733333333336,168.3994723333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,3
Addison Rae,69,69,69.0,,0.669,0.669,0.669,,0.778,0.778,0.778,,-5.386,-5.386,-5.386,,0.178,0.178,0.178,,0.0602,0.0602,0.0602,,0.0,0.0,0.0,,0.359,0.359,0.359,,0.342,0.342,0.342,,137.699,137.699,137.699,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,4,1
Adele,0,86,18.428571428571427,990.2571428571428,0.269,0.73,0.5226190476190476,0.020165147619047617,0.172,0.77,0.4362380952380952,0.030085190476190477,-10.636,-3.882,-7.1303809523809525,3.2109385476190466,0.0249,0.173,0.04178095238095238,0.0010841186190476192,0.00408,0.962,0.5751133333333334,0.10122863333333335,0.0,0.00234,0.00016666714285714284,2.762171120714286e-07,0.0473,0.231,0.12166190476190476,0.002042140476190477,0.0789,0.729,0.3029238095238095,0.0249887469047619,75.881,183.793,126.97361904761904,1009.0090969476187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
Adele Haenel,0,0,0.0,,0.488,0.488,0.488,,0.657,0.657,0.657,,-8.204,-8.204,-8.204,,0.0508,0.0508,0.0508,,0.0667,0.0667,0.0667,,0.518,0.518,0.518,,0.195,0.195,0.195,,0.157,0.157,0.157,,159.909,159.909,159.909,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1
Adi Oasis,62,62,62.0,,0.678,0.678,0.678,,0.339,0.339,0.339,,-11.187,-11.187,-11.187,,0.0934,0.0934,0.0934,,0.823,0.823,0.823,,0.921,0.921,0.921,,0.167,0.167,0.167,,0.478,0.478,0.478,,74.009,74.009,74.009,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1
Ado,53,53,53.0,,0.827,0.827,0.827,,0.824,0.824,0.824,,-4.13,-4.13,-4.13,,0.0762,0.0762,0.0762,,0.0494,0.0494,0.0494,,0.0,0.0,0.0,,0.379,0.379,0.379,,0.737,0.737,0.737,,117.992,117.992,117.992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
Adrian Leaper,7,7,7.0,,0.169,0.169,0.169,,0.145,0.145,0.145,,-18.232,-18.232,-18.232,,0.0379,0.0379,0.0379,,0.852,0.852,0.852,,0.812,0.812,0.812,,0.0753,0.0753,0.0753,,0.352,0.352,0.352,,79.236,79.236,79.236,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
Adrian Younge,0,0,0.0,0.0,0.6,0.687,0.6435,0.0037845000000000114,0.455,0.624,0.5395,0.014280499999999993,-7.186,-6.963,-7.0745000000000005,0.02486450000000007,0.0298,0.0345,0.03215,1.1044999999999997e-05,0.02,0.779,0.3995,0.28804050000000003,0.0501,0.234,0.14205,0.016909605,0.0833,0.111,0.09715,0.00038364500000000006,0.37,0.678,0.524,0.047432000000000016,93.206,149.723,121.46450000000002,1597.085644500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2
Adèle Castillon,59,77,68.0,162.0,0.679,0.705,0.692,0.0003379999999999963,0.467,0.653,0.56,0.017297999999999994,-9.261,-7.9,-8.5805,0.9261604999999997,0.0343,0.0572,0.04575,0.0002622050000000001,0.198,0.564,0.381,0.06697799999999998,0.00107,0.00225,0.00166,6.961999999999997e-07,0.0779,0.0969,0.0874,0.00018050000000000019,0.27,0.483,0.3765,0.022684499999999993,75.031,107.993,91.512,543.2467219999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2
Aerosmith,3,15,9.0,72.0,0.307,0.39,0.34850000000000003,0.003444499999999999,0.433,0.649,0.541,0.023327999999999998,-10.057,-5.163,-7.61,11.975618,0.029,0.0345,0.03175,1.5125000000000017e-05,0.172,0.388,0.28,0.023328000000000012,0.0,9.08e-05,4.54e-05,4.12232e-09,0.216,0.332,0.274,0.006728000000000004,0.144,0.224,0.184,0.0032000000000000015,121.16,160.9,141.03,789.6338000000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2
Afro Medusa,60,60,60.0,,0.671,0.671,0.671,,0.741,0.741,0.741,,-7.525,-7.525,-7.525,,0.0342,0.0342,0.0342,,0.0191,0.0191,0.0191,,0.808,0.808,0.808,,0.272,0.272,0.272,,0.421,0.421,0.421,,127.024,127.024,127.024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
Aga B,0,0,0.0,,0.641,0.641,0.641,,0.549,0.549,0.549,,-7.315,-7.315,-7.315,,0.264,0.264,0.264,,0.362,0.362,0.362,,0.0,0.0,0.0,,0.0838,0.0838,0.0838,,0.583,0.583,0.583,,180.041,180.041,180.041,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1
Agar Agar,0,44,16.0,320.61538461538464,0.337,0.946,0.7006428571428571,0.024366708791208797,0.0522,0.725,0.5027285714285714,0.04090512373626373,-22.401,-3.734,-10.099428571428572,16.98327010989011,0.0266,0.0914,0.04787142857142857,0.0003369560439560439,0.0131,0.959,0.23160714285714287,0.08612613302197801,1.06e-06,0.924,0.4984865042857143,0.1331177869793264,0.0799,0.156,0.10726428571428571,0.00045305016483516487,0.122,0.972,0.5190714285714285,0.0550023791208791,93.877,182.092,123.39707142857142,533.2216222252747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
Ah! Kosmos,42,42,42.0,,0.423,0.423,0.423,,0.565,0.565,0.565,,-10.945,-10.945,-10.945,,0.0388,0.0388,0.0388,,0.674,0.674,0.674,,0.294,0.294,0.294,,0.11,0.11,0.11,,0.281,0.281,0.281,,102.868,102.868,102.868,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1
Ahmet Kaya,56,59,57.5,4.5,0.595,0.708,0.6515,0.006384499999999999,0.221,0.436,0.3285,0.0231125,-22.339,-11.299,-16.819,60.94079999999999,0.0299,0.0446,0.03725,0.00010804500000000004,0.528,0.719,0.6234999999999999,0.01824049999999998,9.32e-05,0.000384,0.0002386,4.2282320000000004e-08,0.118,0.137,0.1275,0.00018050000000000032,0.364,0.549,0.4565,0.01711250000000001,110.079,119.801,114.94,47.25864200000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2
Air Supply,75,75,75.0,,0.513,0.513,0.513,,0.262,0.262,0.262,,-16.875,-16.875,-16.875,,0.0276,0.0276,0.0276,,0.313,0.313,0.313,,5.51e-06,5.51e-06,5.51e-06,,0.456,0.456,0.456,,0.357,0.357,0.357,,108.383,108.383,108.383,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
Ajda Pekkan,0,60,10.777777777777779,481.4444444444445,0.27,0.728,0.4678888888888889,0.026354361111111113,0.474,0.952,0.6746666666666666,0.02980099999999999,-11.531,-4.654,-7.045555555555556,5.319874277777779,0.0301,0.327,0.11083333333333334,0.0087647625,0.0823,0.711,0.46825555555555554,0.05172398777777777,0.0,3.32e-05,3.688888888888889e-06,1.2247111111111113e-10,0.102,0.423,0.21044444444444443,0.014797277777777777,0.254,0.687,0.487,0.023574999999999992,78.798,169.084,112.53855555555555,978.9935810277777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9
Akiko Inao,0,0,0.0,,0.36,0.36,0.36,,0.03,0.03,0.03,,-22.044,-22.044,-22.044,,0.047,0.047,0.047,,0.994,0.994,0.994,,0.877,0.877,0.877,,0.0887,0.0887,0.0887,,0.0964,0.0964,0.0964,,72.205,72.205,72.205,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
Akın Sevgör,10,10,10.0,,0.762,0.762,0.762,,0.289,0.289,0.289,,-17.95,-17.95,-17.95,,0.0733,0.0733,0.0733,,0.627,0.627,0.627,,0.916,0.916,0.916,,0.0836,0.0836,0.0836,,0.0975,0.0975,0.0975,,107.987,107.987,107.987,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1
Alastair Lane,64,64,64.0,,0.774,0.774,0.774,,0.692,0.692,0.692,,-7.239,-7.239,-7.239,,0.0471,0.0471,0.0471,,0.272,0.272,0.272,,0.326,0.326,0.326,,0.129,0.129,0.129,,0.41,0.41,0.41,,124.984,124.984,124.984,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
Alden Tyrell,20,20,20.0,,0.857,0.857,0.857,,0.95,0.95,0.95,,-11.292,-11.292,-11.292,,0.0546,0.0546,0.0546,,0.000436,0.000436,0.000436,,0.841,0.841,0.841,,0.0403,0.0403,0.0403,,0.909,0.909,0.909,,130.997,130.997,130.997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,1
Aldous Harding,0,0,0.0,,0.451,0.451,0.451,,0.123,0.123,0.123,,-13.412,-13.412,-13.412,,0.0341,0.0341,0.0341,,0.838,0.838,0.838,,1.24e-05,1.24e-05,1.24e-05,,0.108,0.108,0.108,,0.231,0.231,0.231,,125.313,125.313,125.313,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1
Alexander Liebreich,1,1,1.0,,0.326,0.326,0.326,,0.0548,0.0548,0.0548,,-23.681,-23.681,-23.681,,0.0367,0.0367,0.0367,,0.983,0.983,0.983,,0.807,0.807,0.807,,0.158,0.158,0.158,,0.121,0.121,0.121,,100.404,100.404,100.404,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1
Alexandra Savior,0,48,24.0,1152.0,0.483,0.551,0.517,0.002312000000000004,0.47,0.846,0.6579999999999999,0.07068799999999997,-8.116,-6.235,-7.1754999999999995,1.7690804999999996,0.0326,0.0587,0.045649999999999996,0.00034060500000000006,0.128,0.422,0.275,0.043218000000000006,0.0,0.836,0.418,0.349448,0.12,0.775,0.4475,0.21451250000000002,0.307,0.321,0.314,9.800000000000017e-05,118.291,119.94,119.1155,1.3596005000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
Aleyna Tilki,0,71,14.2,1008.2,0.342,0.737,0.6342000000000001,0.028049199999999986,0.635,0.844,0.7478,0.009025699999999998,-6.703,-4.418,-5.8148,0.8917842,0.0363,0.0614,0.046400000000000004,0.00010646500000000005,0.0359,0.118,0.07086,0.0014141779999999999,0.0,0.00141,0.000575784,5.0095915328e-07,0.0322,0.332,0.1341,0.014258170000000002,0.216,0.538,0.4,0.016031500000000008,97.953,149.944,126.7876,506.0121452999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,5
Alfonso Lopéz Ch.,2,2,2.0,,0.237,0.237,0.237,,0.0374,0.0374,0.0374,,-27.709,-27.709,-27.709,,0.0438,0.0438,0.0438,,0.98,0.98,0.98,,0.939,0.939,0.939,,0.0983,0.0983,0.0983,,0.0663,0.0663,0.0663,,104.626,104.626,104.626,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,1
Alfredo Mazzucchi,0,0,0.0,,0.231,0.231,0.231,,0.293,0.293,0.293,,-13.214,-13.214,-13.214,,0.0355,0.0355,0.0355,,0.945,0.945,0.945,,0.0508,0.0508,0.0508,,0.115,0.115,0.115,,0.332,0.332,0.332,,135.94,135.94,135.94,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,1
Ali Shaheed Muhammad,0,0,0.0,,0.6,0.6,0.6,,0.624,0.624,0.624,,-7.186,-7.186,-7.186,,0.0345,0.0345,0.0345,,0.02,0.02,0.02,,0.234,0.234,0.234,,0.111,0.111,0.111,,0.678,0.678,0.678,,149.723,149.723,149.723,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1
Alice Phoebe Lou,0,70,39.45454545454545,539.2727272727273,0.405,0.852,0.6197272727272728,0.017898218181818172,0.251,0.734,0.4616363636363637,0.029489454545454548,-11.542,-4.529,-7.989090909090908,4.841917290909091,0.0233,0.0732,0.04355454545454546,0.0003264147272727273,0.0301,0.91,0.3709454545454545,0.10442734672727272,4.78e-06,0.0522,0.008677916363636363,0.00026760332819814546,0.107,0.269,0.14963636363636365,0.0022378545454545457,0.0395,0.924,0.47151818181818184,0.08121419363636362,73.122,144.84,111.20390909090908,630.4617630909088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,11
Alice et Moi,0,0,0.0,0.0,0.625,0.669,0.647,0.0009680000000000017,0.487,0.709,0.598,0.024641999999999994,-8.53,-5.486,-7.007999999999999,4.632967999999997,0.0315,0.0661,0.0488,0.0005985800000000002,0.0955,0.219,0.15725,0.007626125,4.64e-06,0.106,0.05300232,0.0056175081707648,0.108,0.121,0.11449999999999999,8.450000000000006e-05,0.579,0.692,0.6355,0.006384499999999999,97.982,151.958,124.97,1456.704288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2
Alicia Keys,0,85,31.348837209302324,713.6611295681063,0.244,0.764,0.5507906976744187,0.016991312292358802,0.148,0.956,0.5597441860465117,0.030322194905869324,-13.108,-1.538,-7.562209302325582,5.173093359911406,0.0292,0.392,0.09396976744186047,0.006343760730897008,0.00533,0.956,0.38137279069767444,0.09873928197774087,0.0,0.246,0.00930234,0.0016660765223544096,0.0465,0.656,0.17796279069767443,0.014780502868217051,0.103,0.891,0.4126511627906977,0.048605899224806216,75.09,193.592,115.259,1205.0768529999998,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,43
Alizarina,29,29,29.0,,0.731,0.731,0.731,,0.461,0.461,0.461,,-12.432,-12.432,-12.432,,0.0409,0.0409,0.0409,,0.401,0.401,0.401,,0.286,0.286,0.286,,0.108,0.108,0.108,,0.149,0.149,0.149,,100.025,100.025,100.025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,1
Allie X,0,0,0.0,,0.606,0.606,0.606,,0.642,0.642,0.642,,-5.339,-5.339,-5.339,,0.0279,0.0279,0.0279,,0.00575,0.00575,0.00575,,0.478,0.478,0.478,,0.102,0.102,0.102,,0.0764,0.0764,0.0764,,84.975,84.975,84.975,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,1
Alpay,0,0,0.0,,0.429,0.429,0.429,,0.551,0.551,0.551,,-11.771,-11.771,-11.771,,0.137,0.137,0.137,,0.624,0.624,0.624,,1.97e-05,1.97e-05,1.97e-05,,0.113,0.113,0.113,,0.806,0.806,0.806,,169.895,169.895,169.895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1
Alper Yilmaz,4,4,4.0,,0.367,0.367,0.367,,0.17,0.17,0.17,,-16.651,-16.651,-16.651,,0.0507,0.0507,0.0507,,0.936,0.936,0.936,,0.278,0.278,0.278,,0.275,0.275,0.275,,0.0864,0.0864,0.0864,,104.6,104.6,104.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1
Alpha Blondy,0,0,0.0,,0.717,0.717,0.717,,0.446,0.446,0.446,,-5.747,-5.747,-5.747,,0.0665,0.0665,0.0665,,0.427,0.427,0.427,,5.45e-05,5.45e-05,5.45e-05,,0.106,0.106,0.106,,0.693,0.693,0.693,,131.07,131.07,131.07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,1
