Artist,Popularity_min,Popularity_max,Popularity_mean,Popularity_var,Danceability_min,Danceability_max,Danceability_mean,Danceability_var,Energy_min,Energy_max,Energy_mean,Energy_var,Loudness_min,Loudness_max,Loudness_mean,Loudness_var,Speechiness_min,Speechiness_max,Speechiness_mean,Speechiness_var,Acousticness_min,Acousticness_max,Acousticness_mean,Acousticness_var,Instrumentalness_min,Instrumentalness_max,Instrumentalness_mean,Instrumentalness_var,Liveness_min,Liveness_max,Liveness_mean,Liveness_var,Valence_min,Valence_max,Valence_mean,Valence_var,Tempo_min,Tempo_max,Tempo_mean,Tempo_var,Genre_classical,Genre_rap,Genre_r&b,Genre_industrial,Genre_indie,Genre_opera,Genre_neo soul,Genre_orchestra,Genre_psychedelic rock,Genre_soundtrack,Genre_art pop,Genre_german hip hop,Genre_classic rock,Genre_electro,Genre_bedroom pop,Genre_electronic,Genre_art rock,Genre_alternative r&b,Genre_reggae,Genre_singer-songwriter,Key_<lambda>,Mode_<lambda>,Time Signature_<lambda>,Track_Count
Mad Professor,7,52,19.5,475.0,0.642,0.814,0.6915,0.006723666666666659,0.286,0.735,0.46399999999999997,0.039891333333333334,-13.925,-8.689,-11.62175,6.543976916666668,0.0349,0.0848,0.061625,0.0004240625,0.00202,0.56,0.28330500000000003,0.10100260943333333,0.000557,0.873,0.44296425,0.24554876437891668,0.034,0.0887,0.06515,0.0005666699999999999,0.472,0.872,0.63125,0.029188916666666648,86.57,125.949,111.23349999999999,308.9113616666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4
Madonna,45,77,63.666666666666664,277.33333333333337,0.625,0.708,0.6593333333333333,0.0018763333333333314,0.484,0.842,0.7193333333333333,0.041561333333333325,-11.233,-4.736,-7.084666666666667,12.981852333333336,0.0363,0.0396,0.03783333333333334,2.763333333333343e-06,0.0211,0.392,0.2257,0.03549187,1.34e-06,2.12e-05,8.84e-06,1.163196e-10,0.0495,0.181,0.09553333333333332,0.005489303333333332,0.26,0.968,0.5830000000000001,0.12819899999999998,99.951,146.898,119.29566666666666,602.1469963333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3
Madrigal,0,0,0.0,,0.552,0.552,0.552,,0.608,0.608,0.608,,-11.211,-11.211,-11.211,,0.0274,0.0274,0.0274,,0.148,0.148,0.148,,2.05e-05,2.05e-05,2.05e-05,,0.332,0.332,0.332,,0.835,0.835,0.835,,88.002,88.002,88.002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
Maggie Rogers,42,42,42.0,,0.547,0.547,0.547,,0.45,0.45,0.45,,-9.203,-9.203,-9.203,,0.0439,0.0439,0.0439,,0.455,0.455,0.455,,7.2e-06,7.2e-06,7.2e-06,,0.125,0.125,0.125,,0.312,0.312,0.312,,96.898,96.898,96.898,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Mahmut Tuncer,45,45,45.0,,0.773,0.773,0.773,,0.964,0.964,0.964,,-7.266,-7.266,-7.266,,0.0682,0.0682,0.0682,,0.465,0.465,0.465,,0.000817,0.000817,0.000817,,0.318,0.318,0.318,,0.727,0.727,0.727,,105.064,105.064,105.064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1
Maki Namekawa,5,5,5.0,,0.381,0.381,0.381,,0.215,0.215,0.215,,-21.605,-21.605,-21.605,,0.0396,0.0396,0.0396,,0.986,0.986,0.986,,0.911,0.911,0.911,,0.111,0.111,0.111,,0.235,0.235,0.235,,116.816,116.816,116.816,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1
Malihini,0,0,0.0,,0.651,0.651,0.651,,0.383,0.383,0.383,,-12.539,-12.539,-12.539,,0.0731,0.0731,0.0731,,0.617,0.617,0.617,,0.000709,0.000709,0.000709,,0.105,0.105,0.105,,0.346,0.346,0.346,,169.931,169.931,169.931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
Malik Djoudi,41,41,41.0,,0.804,0.804,0.804,,0.414,0.414,0.414,,-12.31,-12.31,-12.31,,0.0637,0.0637,0.0637,,0.158,0.158,0.158,,0.471,0.471,0.471,,0.14,0.14,0.14,,0.259,0.259,0.259,,105.037,105.037,105.037,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Maluma,51,51,51.0,,0.896,0.896,0.896,,0.528,0.528,0.528,,-5.981,-5.981,-5.981,,0.0849,0.0849,0.0849,,0.114,0.114,0.114,,0.000189,0.000189,0.000189,,0.773,0.773,0.773,,0.312,0.312,0.312,,104.991,104.991,104.991,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Mannequin Pussy,52,55,53.5,4.5,0.303,0.354,0.3285,0.001300499999999998,0.586,0.877,0.7315,0.042340499999999996,-7.46,-4.817,-6.1385000000000005,3.4927245000000005,0.0315,0.065,0.04825,0.0005611250000000001,0.00205,0.00501,0.00353,4.380799999999998e-06,0.000675,0.0245,0.0125875,0.00028381531250000003,0.332,0.348,0.33999999999999997,0.00012799999999999978,0.297,0.388,0.3425,0.0041405,92.246,129.879,111.0625,708.1213444999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,2
